timestamp,hr_bpm,snr,rmssd_ms_trend,resp_per_min,face_idx,voice_db,voice_voiced,voice_pitch_hz,voice_speech_ratio,voice_tempo_per_min,voice_pauses_per_min,voice_avg_pause_sec
2026-06-17T11:45:08,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:09,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:10,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:11,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:12,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:12,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:13,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:14,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:15,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:16,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:16,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:17,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:18,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:19,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:20,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:21,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:21,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:22,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:23,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:24,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:25,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:26,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:26,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:27,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:28,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:29,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:30,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:30,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:31,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:32,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:33,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:34,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:35,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:35,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:36,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:37,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:38,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:39,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:40,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:40,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:41,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:42,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:43,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:44,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:44,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:45,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:46,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:47,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:48,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:49,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:50,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:50,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:51,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:52,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:53,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:54,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:54,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:55,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:56,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:57,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:58,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:59,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:45:59,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:00,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:01,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:02,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:03,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:04,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:04,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:05,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:06,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:07,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:08,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:08,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:09,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:10,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:11,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:12,67.9,5.5,231.9,15.1,0,-180.0,0,,0.000,,0.00,
2026-06-17T11:46:13,67.9,5.5,231.9,15.1,0,-92.2,0,296,0.003,1.0,1.00,59.26
2026-06-17T11:46:13,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,58.43
2026-06-17T11:46:14,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,57.66
2026-06-17T11:46:15,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,56.77
2026-06-17T11:46:16,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,55.94
2026-06-17T11:46:17,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,55.10
2026-06-17T11:46:18,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,54.27
2026-06-17T11:46:19,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,53.38
2026-06-17T11:46:19,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,52.54
2026-06-17T11:46:20,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,51.65
2026-06-17T11:46:21,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,50.88
2026-06-17T11:46:22,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,49.98
2026-06-17T11:46:23,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,49.09
2026-06-17T11:46:24,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,48.32
2026-06-17T11:46:24,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,47.42
2026-06-17T11:46:25,67.9,5.5,231.9,15.1,0,-180.0,0,296,0.003,1.0,1.00,46.59
